cymraeg,cymraeg_id,saesneg,saesneg_id
cael,1,to have,1
dywedyd,2,to say,2
gwneud,3,to do,3
gweld,4,to see,4
adnabod,5,to know,5
cymryd,6,to take,6
llefaru,7,to speak,7
breuddwydio,8,to dream,8
credu,9,to believe,9
cyrraedd,10,to arrive,10
diwrnod,11,day,11
dyn,12,man,12
gwraig,13,woman,13
llygad,14,eye,14
bwrdd,15,table,15
llaw,16,hand,16
amser,17,time,17
plentyn,18,child,18
peth,19,thing,19
tad,20,father,20
mwy,21,more,21
bach,22,small,22
hir,23,long,23
mawr,24,large,24
unig,25,alone,25
iach,26,well,26
iawn,27,right,27
hen,28,old,28
eto,29,still,29
holl,30,all,30
gwin,31,wine,31
pen,32,head,32
awr,33,hour,33
blwyddyn,34,year,34
nos,35,night,35
byd,36,world,36
noswaith,37,evening,37
annedd,38,house,38
llais,39,voice,39
drws,40,door,40
meddwl,41,to think,41
rhedeg,42,to run,42
holi,43,to ask,43
gosod,44,to put,44
darganfod,45,to find,45
gadael,46,to leave,46
rhoddi,47,to give,47
aros,48,to remain,48
cadw,49,to hold,49
cyfrif,50,to  calculate,50
mam,51,mother,51
mellt,52,lightning,52
lle,53,room,53
derbyniad,54,receipt,54
gair,55,word,55
awyrgylch,56,air,56
serch,57,love,57
siocled,58,chocolate,58
pobl,59,people,59
gafr,60,goat,60
un,61,one,61
ieuanc,62,young,62
gwyn,63,white,63
hefyd,64,also,64
neu,65,or,65
du,66,black,66
ugain,67,twenty,67
newydd,68,new,68
coch,69,red,69
ie,70,yes,70
bore,71,morning,71
ofn,72,fear,72
mur,73,wall,73
wyneb,74,face,74
ochr,75,side,75
troed,76,foot,76
mochyn,77,pig,77
dwfr,78,water,78
gwely,79,bed,79
braich,80,arm,80
gwenieithio,81,to  flatter,81
teimlo,82,to feel,82
clywed,83,to hear,83
deall,84,to understand,84
byw,85,to live,85
agor,86,to open,86
trigo,87,to die,87
atal,88,to stop,88
cydsynio,89,to consent,89
colli,90,to lose,90
glan,91,shore,91
corff,92,body,92
dymuniad,93,desire,93
te,94,tea,94
march,95,horse,95
heol,96,street,96
tasg,97,job,97
daear,98,earth,98
cipolwg,99,glance,99
llyfr,100,book,100
siwr,101,sure,101
uchel,102,high,102
hyd,103,until,103
cyflawn,104,full,104
oni,105,unless,105
efallai,106,perhaps,106
arall,107,other,107
isel,108,low,108
agos,109,near,109
paham,110,why,110
drychfeddwl,111,idea,111
ceudod,112,heart,112
gwallt,113,hair,113
cerbyd,114,car,114
esgid,115,boot,115
chwedl,116,story,116
mis,117,month,117
tylwyth,118,family,118
hwyad,119,duck,119
mab,120,son,120
canlyn,121,to follow,121
tynnu,122,to draw,122
cario,123,to carry,123
gweddu,124,to become,124
disgwyl,125,to expect,125
diweddu,126,to finish,126
dechrau,127,to begin,127
cwympo,128,to fall,128
chwerthin,129,to laugh,129
gobeithio,130,to hope,130
haul,131,sun,131
cyfaill,132,friend,132
hyfrydwch,133,pleasure,133
arian,134,money,134
ffaith,135,fact,135
meddyg,136,doctor,136
poen,137,pain,137
bachgen,138,boy,138
ffenestr,139,window,139
enw,140,name,140
gwag,141,empty,141
llai,142,less,142
glas,143,blue,143
eisoes,144,already,144
yma,145,here,145
tlawd,146,poor,146
dedwydd,147,happy,147
glanwaith,148,clean,148
bron,149,almost,149
gwell,150,better,150
marchnad,151,market,151
cymydog,152,neighbor,152
llaeth,153,milk,153
bai,154,fault,154
oed,155,age,155
diwedd,156,end,156
finegr,157,vinegar,157
gwydr,158,glass,158
tref,159,town,159
twrf,160,noise,160
rhodio,161,to walk,161
ceisio,162,to seek,162
lluchio,163,to throw,163
anghofio,164,to forget,164
galw,165,to call,165
chwarae,166,to play,166
darllen,167,to read,167
codi,168,to raise,168
huno,169,to sleep,169
profi,170,to try,170
ci,171,dog,171
sebon,172,soap,172
coedwig,173,forest,173
taw,174,silence,174
coed,175,wood,175
wy,176,egg,176
chwaer,177,sister,177
gwaith,178,work,178
llythyren,179,letter,179
cysgod,180,shadow,180
ag,181,with,181
tew,182,fat,182
gwyrdd,183,green,183
llwyd,184,grey,184
uwch,185,over,185
digon,186,enough,186
cryf,187,strong,187
mynych,188,often,188
eglur,189,clear,189
gwir,190,TRUE,190
eisiau,191,need,191
pwyll,192,sense,192
petruster,193,doubt,193
carped,194,carpet,194
pili-pala,195,butterfly,195
trwyn,196,nose,196
wythnos,197,week,197
